GeoHash,ident,type,name,latitude_deg,longitude_deg
4rtx19136g143rmhvgwg6,AR-0235,small_airport,Lago Buenos Aires (Aeroclub Perito Moreno) Airfield,-46.576307,-70.947871
4rtx2b4ch6y50sjb8hmjt,SAWP,medium_airport,Perito Moreno Jalil Hamer Airport,-46.537899,-70.978699
4ru9w62cr6s5pffkszp80,SCNL,small_airport,Villa Cerro Castillo Airport,-46.12999,-72.14587
4rubdsryhg300sf97vj27,SCII,small_airport,Puerto Ingeniero Ibañez Airport,-46.293966,-71.949601
4rumdr747pwxjpbcd076q,SCAS,small_airport,Cabo Juan Román Airfield,-45.3992,-72.670303
4rusx5vfw116vmbsbb4ff,SCCY,medium_airport,Teniente Vidal Airport,-45.5942,-72.106102
4rv08zjb45nwc03ftq2gd,AR-0759,small_airport,Estancia Victoria Airstrip,-46.27989,-71.6778
4rv4b9m21e5nh196zwhdv,SCBA,medium_airport,Balmaceda Airport,-45.915968,-71.689499
4rvxuts0u0gnvcg0d0tn1,SAVR,small_airport,D. Casimiro Szlapelis Airport,-45.013599,-70.812202
4rwznxuvrrxux7d4eyfte,SAVH,medium_airport,Las Heras Airport,-46.538517,-68.965323
4rxqjz26dx1405bxwjsqg,AR-0724,small_airport,Yacimiento el Valle Lago del Desierto Airport,-46.71752,-68.30155
4rxznxc6xj8eqsgw883ze,SA25,small_airport,Cañadon Seco Airport,-46.539,-67.5639
4ry5cxbeqztwzvhu1b1bw,SAWM,small_airport,Rio Mayo Airport,-45.703899,-70.245598
4ry9prpxh4fg4cm3vkcm9,AR-0260,small_airport,Los Perales Airport,-46.19079971,-69.28029633
4ryusp79jnzw671tkqu38,SAVM,small_airport,Lago Musters Airport,-45.5752,-69.077
4ryutvgz7njmxv25us98u,AR-0494,small_airport,Colonia Sarmiento Airport,-45.582371,-68.999841
4rzbjvg6px9kmpkcfk2yn,AR-0007,small_airport,Caleta Olivia Airport,-46.37428,-67.59409
4rzfyekuf66ry5w1drycn,AR-0019,small_airport,13 De Diciembre Airport,-45.90417,-67.559295
4rzuu4t47gdyu1mh5u6gu,AR-0701,small_airport,Manantiales Behr Compressor Plant Airport,-45.55715,-67.66875
4s6rwb4kxnwzws6er0cu8,NZ12,small_airport,Palmer Station Airport,-64.774582,-64.035907
4smq25mcwcxj0jpzmn874,SAWZ,small_airport,Matienzo Airfield,-64.976998,-60.108992
4swzeu8drwwc8m7tb2qet,SCBO,small_airport,General Bernardo O'Higgins Base Skyway,-63.344,-57.842
4sxdx3f8yc82mb9s310z4,SAWB,small_airport,Gustavo Marambio Airport,-64.238297,-56.630798
4sxrr66h0zh8sr60g0w51,SAYE,small_airport,Esperanza Base,-63.400002,-56.983299
4symcjb795vpjfdpqbens,SAYJ,small_airport,Jubany Airbase,-62.2383,-58.666599
